Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
41099,Text,2012-10-18,Traité touchant le commun usage de l'escriture françoise,fr,"Meigret, Louis, active 16th century",French language -- Orthography and spelling,PC,FR Langues; Browsing: Language & Communication; Browsing: Literature
41100,Text,2012-10-18,L'exilée,fr,"Loti, Pierre, 1850-1923","Japan -- Description and travel; Women -- Japan; Sylva, Carmen, 1843-1916; Constantinople -- Description and travel",PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Travel & Geography
41101,Text,2012-10-18,Histoire de la Littérature Anglaise (Volume 3 de 5),fr,"Taine, Hippolyte, 1828-1893",English literature -- History and criticism,PR,France; FR Littérature; Browsing: History - British; Browsing: Literature
41102,Text,2012-10-18,The King's Threshold; and On Baile's Strand,en,"Yeats, W. B. (William Butler), 1865-1939",Ireland -- Drama,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41103,Text,2012-10-18,Waterways of Westward Expansion - The Ohio River and its Tributaries,en,"Hulbert, Archer Butler, 1873-1933",Ohio River,E151,Browsing: History - American; Browsing: Travel & Geography
41104,Text,2012-10-18,The Amazing Argentine: A New Land of Enterprise,en,"Fraser, John Foster",Argentina -- Description and travel,F2801,Browsing: History - American; Browsing: Travel & Geography
41105,Text,2012-10-18,"The Secret of Charlotte Brontë
Followed by Remiiscences of the real Monsieur and Madame Heger",en,"Macdonald, Frederika","Brontë, Charlotte, 1816-1855; Heger, Constantin-Georges, 1809-1896; Heger, Zoë, 1804-1887",PR,Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Literature
41106,Text,2012-10-18,"La voz de la conseja, t.2
Selección de las mejores novelas breves y cuentos de los más esclarecidos literatos",es,"Carrere, Emilio, 1881-1947 [Editor]; Álvarez Quintero, Joaquín, 1873-1944; Álvarez Quintero, Serafín, 1871-1938; Blasco Ibáñez, Vicente, 1867-1928; Echegaray, José, 1832-1916; Espina, Concha, 1869-1955; Fernández-Flórez, Wenceslao, 1885-1964; Gamero, Gutiérrez; Hoyos y Vinent, Antonio de, 1885-1940; Ortega Munilla, J. (José), 1856-1922; Retana, Alvaro; San José, Diego, 1885-1962; San Martín, Bernardo Morales; Trigo, Felipe, 1864-1916",Spanish fiction,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41107,Text,2012-10-18,The Second Fiddle,en,"Bottome, Phyllis, 1882-1963; Price, Norman, 1877-1951 [Illustrator]","Love stories; Sisters -- Fiction; Man-woman relationships -- Fiction; World War, 1914-1918 -- England -- Fiction; Disabled veterans -- England -- Fiction; Secretaries -- Fiction",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41108,Text,2012-10-19,Legends of Longdendale,en,"Middleton, Thomas, 1872-1952",Folklore -- England -- Cheshire,GR,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography
41109,Text,2012-10-19,Admiral Jellicoe,en,"Applin, Arthur, 1873-1949","Jellicoe, John Rushworth, 1859-1935",DA,Browsing: History - British; Browsing: History - General
41110,Text,2012-10-19,Arabian Society in the Middle Ages: Studies From The Thousand and One Nights,en,"Lane, Edward William, 1801-1876; Lane-Poole, Stanley, 1854-1931 [Editor]","Egypt -- Social life and customs; Arabian nights; Social history -- Medieval, 500-1500; Islamic Empire -- Social life and customs",DS,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: History - Medieval/The Middle Ages
41111,Text,2012-10-19,"The Wonder Book of Knowledge
The Marvels of Modern Industry and Invention, the Interesting Stories of Common Things, the Mysterious Processes of Nature Simply Explained",en,"Hill, Henry Chase [Editor]",Industrial arts -- History,T,Browsing: Computers & Technology; Browsing: History - General; Browsing: Science - General
